Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2020-0058,1,2020-11-24,2020,Noviembre,24,Martes,Primavera,16:00:00,16,"OLIVERA AV. Y FALCON, RAMON L., CNEL.",AVENIDA,OLIVERA AV.,True,Comuna 10,Velez Sarsfield,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,57,41-60
2020-0059,1,2020-12-01,2020,Diciembre,1,Martes,Verano,06:35:00,6,BRASIL 1100,CALLE,BRASIL,False,Comuna 1,Constitucion,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,49,41-60
2020-0060,1,2020-12-03,2020,Diciembre,3,Jueves,Verano,20:30:00,20,"HOMERO Y PERON, EVA AV.",AVENIDA,HOMERO,True,Comuna 9,Parque Avellaneda,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,69,61+
2020-0061,1,2020-12-03,2020,Diciembre,3,Jueves,Verano,14:40:00,14,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,"CANTILO, INT.",True,Comuna 13,Belgrano,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,45,41-60
2020-0062,1,2020-12-04,2020,Diciembre,4,Viernes,Verano,17:19:00,17,MORENO 1845,CALLE,MORENO,False,Comuna 3,Balvanera,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,47,41-60
2020-0063,2,2020-12-05,2020,Diciembre,5,Sábado,Verano,07:10:00,7,NUEVA YORK Y ALTA GRACIA,CALLE,NUEVA YORK,True,Comuna 11,Villa Devoto,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,38,26-40
2020-0063,2,2020-12-05,2020,Diciembre,5,Sábado,Verano,07:10:00,7,NUEVA YORK Y ALTA GRACIA,CALLE,NUEVA YORK,True,Comuna 11,Villa Devoto,PEATON-MOTO,PEATON,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,21,19-25
2020-0065,1,2020-12-05,2020,Diciembre,5,Sábado,Verano,16:00:00,16,"PAZ, GRAL. AV. Y GOYENECHE, ROBERTO PARQUE AV.",GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 12,Saavedra,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,24,19-25
2020-0066,1,2020-12-07,2020,Diciembre,7,Lunes,Verano,04:30:00,4,AUTOPISTA PERITO MORENO ALTURA ESTACION DE TREN VILLA LURO,AUTOPISTA,AUTOPISTA PERITO MORENO,False,Comuna 10,Villa Luro,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,27,26-40
2020-0067,1,2020-12-11,2020,Diciembre,11,Viernes,Verano,22:00:00,22,SAENZ AV. Y BEAZLEY,AVENIDA,SAENZ AV.,True,Comuna 4,Nueva Pompeya,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,51,41-60
2020-0068,1,2020-12-12,2020,Diciembre,12,Sábado,Verano,20:30:00,20,DEL LIBERTADOR AV. Y AUSTRIA,AVENIDA,DEL LIBERTADOR AV.,True,Comuna 2,Recoleta,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,71,61+
2020-0069,1,2020-12-15,2020,Diciembre,15,Martes,Verano,05:20:00,5,"INDEPENDENCIA AV. Y SAENZ PEÑA, LUIS, PRES.",AVENIDA,INDEPENDENCIA AV.,True,Comuna 1,Constitucion,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,25,26-40
2020-0070,1,2020-12-17,2020,Diciembre,17,Jueves,Verano,15:35:00,15,"CALLAO AV. Y LAS HERAS, GENERAL",AVENIDA,CALLAO AV.,True,Comuna 2,Recoleta,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,81,61+
2020-0071,1,2020-12-17,2020,Diciembre,17,Jueves,Verano,23:00:00,23,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,SAN PEDRITO AV.,True,Comuna 7,Flores,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,4,0-18
2020-0072,1,2020-12-19,2020,Diciembre,19,Sábado,Verano,03:30:00,3,"JUJUY AV. Y CARLOS, CALVO",AVENIDA,JUJUY AV.,True,Comuna 3,San Cristobal,BICICLETA-AUTO,BICICLETA,AUTO,CICLISTA,MASCULINO,42,41-60
2020-0073,1,2020-12-20,2020,Diciembre,20,Domingo,Verano,07:40:00,7,27 DE FEBRERO AV. Y ESCALADA AV.,AVENIDA,27 DE FEBRERO AV.,True,Comuna 8,Villa Soldati,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,56,41-60
2020-0074,1,2020-12-20,2020,Diciembre,20,Domingo,Verano,21:00:00,21,BOGOTA Y NAZCA AV.,AVENIDA,BOGOTA,True,Comuna 7,Flores,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,39,26-40
2020-0075,1,2020-12-23,2020,Diciembre,23,Miércoles,Verano,14:00:00,14,CORRIENTES AV. Y 9 DE JULIO AV.,AVENIDA,CORRIENTES AV.,True,Comuna 1,San Nicolas,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,23,19-25
2020-0076,1,2020-12-24,2020,Diciembre,24,Jueves,Verano,12:30:00,12,ALVAREZ JONTE AV. Y CHIVILCOY,AVENIDA,ALVAREZ JONTE AV.,True,Comuna 10,Monte Castro,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,FEMENINO,78,61+
2020-0077,2,2020-12-25,2020,Diciembre,25,Viernes,Verano,06:40:00,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,SAN MARTIN AV.,True,Comuna 15,Paternal,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,FEMENINO,30,26-40
2020-0077,2,2020-12-25,2020,Diciembre,25,Viernes,Verano,06:40:00,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,SAN MARTIN AV.,True,Comuna 15,Paternal,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,24,19-25
2020-0078,1,2020-12-25,2020,Diciembre,25,Viernes,Verano,05:50:00,5,BARCO CENTENERA DEL 1118,CALLE,BARCO CENTENERA DEL,False,Comuna 7,Parque Chacabuco,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,26,26-40
