Hechos_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Edad
2020-0054,6,1,4,1,59
2020-0055,3,5,3,1,91
2020-0056,1,5,1,2,34
2020-0057,3,1,3,1,84
2020-0058,3,1,3,1,57
2020-0059,3,2,3,2,49
2020-0060,3,6,3,2,69
2020-0061,1,5,1,1,45
2020-0062,6,2,4,1,47
2020-0063,3,6,3,1,38
2020-0063,3,6,2,1,21
2020-0065,1,1,1,1,24
2020-0066,1,4,1,1,27
2020-0067,3,2,3,1,51
2020-0068,1,1,1,1,71
2020-0069,1,2,2,1,25
2020-0070,3,2,3,2,81
2020-0071,3,1,3,1,4
2020-0072,6,1,4,1,42
2020-0073,1,4,1,1,56
2020-0074,2,1,1,1,39
2020-0075,3,2,3,1,23
2020-0076,2,2,1,2,78
2020-0077,1,1,1,2,30
2020-0077,1,1,2,2,24
2020-0078,6,2,4,1,26
2020-0079,1,4,1,1,28
2021-0001,1,1,1,1,36
2021-0002,1,5,1,2,47
2021-0003,1,4,1,1,27
2021-0004,3,5,3,2,61
2021-0005,3,1,3,1,73
2021-0006,1,5,2,2,23
2021-0007,1,6,1,1,84
2021-0008,3,2,3,1,28
2021-0009,1,4,1,1,31
2021-0010,1,1,1,1,28
2021-0011,3,1,3,1,21
2021-0012,3,1,3,1,72
2021-0013,1,4,1,1,41
2021-0014,3,1,3,1,28
2021-0015,1,4,1,1,26
2021-0016,2,4,1,1,22
2021-0017,1,2,1,1,33
2021-0018,3,1,3,1,36
2021-0019,1,4,1,1,30
2021-0020,3,5,3,2,45
2021-0021,1,4,1,1,39
2021-0022,7,0,2,1,68
2021-0023,1,5,1,1,24
2021-0024,6,5,4,1,5
2021-0025,1,8,1,1,37
2021-0026,1,4,1,1,36
2021-0027,1,5,1,2,19
2021-0028,3,2,3,1,9
2021-0029,2,1,1,1,26
2021-0030,3,2,3,1,36
2021-0031,3,5,3,2,68
2021-0032,3,6,3,1,60
2021-0033,2,4,1,1,33
2021-0034,1,5,2,2,26
2021-0035,1,5,1,1,24
2021-0036,1,4,1,1,36
2021-0037,3,2,3,2,58
2021-0038,1,5,1,2,44
2021-0039,6,1,4,1,86
2021-0040,1,1,1,1,27
2021-0041,3,2,3,1,75
2021-0042,3,2,3,1,39
2021-0043,3,1,3,1,50
2021-0044,1,4,2,1,21
2021-0045,1,7,1,1,22
2021-0046,2,4,2,1,20
2021-0047,1,1,1,1,59
2021-0048,6,1,4,1,44
2021-0049,2,1,1,1,74
2021-0050,1,2,1,1,56
2021-0051,3,5,3,1,73
2021-0052,1,4,2,2,19
2021-0053,3,9,3,1,58
2021-0054,1,5,1,1,41
2021-0055,1,5,2,1,47
2021-0056,6,1,4,1,60
2021-0057,2,4,1,1,46
2021-0058,3,1,3,1,24
2021-0059,2,4,2,2,44
2021-0060,3,2,3,2,80
2021-0061,3,5,3,2,55
2021-0062,2,5,1,1,73
2021-0063,2,1,2,2,31
2021-0064,3,5,3,1,37
2021-0065,3,2,3,2,63
2021-0066,3,2,3,1,59
2021-0067,1,4,1,1,27
2021-0068,1,4,1,1,39
2021-0069,3,1,3,1,17
2021-0070,1,5,1,1,31
2021-0071,3,6,3,1,88
2021-0072,3,1,3,2,57
2021-0073,6,1,4,2,76
2021-0074,1,7,1,1,55
2021-0075,3,5,3,1,65
2021-0076,1,4,1,1,31
2021-0077,1,5,1,2,31
2021-0078,1,2,1,1,22
2021-0079,3,1,3,1,48
2021-0080,1,1,1,1,32
2021-0081,1,5,1,1,26
2021-0082,1,1,1,1,38
2021-0083,1,1,1,1,30
2021-0084,2,4,1,1,32
2021-0085,1,4,1,1,49
2021-0086,3,2,3,1,75
2021-0087,3,9,3,2,73
2021-0088,1,1,1,1,45
2021-0089,1,1,1,1,41
2021-0090,3,2,3,1,73
2021-0091,1,1,1,1,24
2021-0092,3,1,3,2,50
2021-0093,1,1,2,2,18
2021-0094,1,1,2,2,43
2021-0095,1,5,1,1,27
2021-0096,2,5,1,1,60
2021-0097,6,1,4,1,53
